Date,Open,High,Low,Close,Volume,Adj Close
2015-06-12,2107.429932,2107.429932,2091.330078,2094.110107,2719400000,2094.110107
2015-06-11,2106.23999,2115.02002,2106.23999,2108.860107,3128600000,2108.860107
2015-06-10,2081.120117,2108.50,2081.120117,2105.199951,3414320000,2105.199951
2015-06-09,2079.070068,2085.620117,2072.139893,2080.149902,3034580000,2080.149902
2015-06-08,2092.340088,2093.01001,2079.110107,2079.280029,2917150000,2079.280029
2015-06-05,2095.090088,2100.98999,2085.669922,2092.830078,3243690000,2092.830078
2015-06-04,2112.350098,2112.889893,2093.22998,2095.840088,3200050000,2095.840088
2015-06-03,2110.639893,2121.919922,2109.610107,2114.070068,3099980000,2114.070068
2015-06-02,2110.409912,2117.590088,2099.139893,2109.600098,3049350000,2109.600098
2015-06-01,2108.639893,2119.149902,2102.540039,2111.72998,3011710000,2111.72998
2015-05-29,2120.659912,2120.659912,2104.889893,2107.389893,3927390000,2107.389893
2015-05-28,2122.27002,2122.27002,2112.860107,2120.790039,2980350000,2120.790039
2015-05-27,2105.129883,2126.219971,2105.129883,2123.47998,3127960000,2123.47998
2015-05-26,2125.340088,2125.340088,2099.179932,2104.199951,3342130000,2104.199951
2015-05-22,2130.360107,2132.149902,2126.060059,2126.060059,2571860000,2126.060059
2015-05-21,2125.550049,2134.280029,2122.949951,2130.820068,3070460000,2130.820068
2015-05-20,2127.790039,2134.719971,2122.590088,2125.850098,3025880000,2125.850098
2015-05-19,2129.449951,2133.02002,2124.50,2127.830078,3296030000,2127.830078
2015-05-18,2121.300049,2131.780029,2120.01001,2129.199951,2888190000,2129.199951
2015-05-15,2122.070068,2123.889893,2116.810059,2122.72998,3092080000,2122.72998
2015-05-14,2100.429932,2121.449951,2100.429932,2121.100098,3225740000,2121.100098
2015-05-13,2099.620117,2110.189941,2096.040039,2098.47998,3374260000,2098.47998
2015-05-12,2102.870117,2105.060059,2085.570068,2099.120117,000,2099.120117
2015-05-11,2115.560059,2117.689941,2104.580078,2105.330078,2992670000,2105.330078
2015-05-08,2092.129883,2117.659912,2092.129883,2116.100098,3399440000,2116.100098
2015-05-07,2079.959961,2092.899902,2074.98999,2088.00,3676640000,2088.00
2015-05-06,2091.26001,2098.419922,2067.929932,2080.149902,3792210000,2080.149902
2015-05-05,2112.629883,2115.23999,2088.459961,2089.459961,3793950000,2089.459961
2015-05-04,2110.22998,2120.949951,2110.22998,2114.48999,3091580000,2114.48999
2015-05-01,2087.379883,2108.409912,2087.379883,2108.290039,3379390000,2108.290039
2015-04-30,2105.52002,2105.52002,2077.590088,2085.51001,4509680000,2085.51001
2015-04-29,2112.48999,2113.649902,2097.409912,2106.850098,4074970000,2106.850098
2015-04-28,2108.350098,2116.040039,2094.889893,2114.76001,3546270000,2114.76001
2015-04-27,2119.290039,2125.919922,2107.040039,2108.919922,3438750000,2108.919922
2015-04-24,2112.800049,2120.919922,2112.800049,2117.689941,3375780000,2117.689941
2015-04-23,2107.209961,2120.48999,2103.189941,2112.929932,3636670000,2112.929932
2015-04-22,2098.27002,2109.97998,2091.050049,2107.959961,3348480000,2107.959961
2015-04-21,2102.820068,2109.639893,2094.379883,2097.290039,3243410000,2097.290039
2015-04-20,2084.110107,2103.939941,2084.110107,2100.399902,3000160000,2100.399902
2015-04-17,2102.580078,2102.580078,2072.370117,2081.179932,3627600000,2081.179932
2015-04-16,2105.959961,2111.300049,2100.02002,2104.98999,3434120000,2104.98999
2015-04-15,2097.820068,2111.909912,2097.820068,2106.629883,4013760000,2106.629883
2015-04-14,2092.280029,2098.620117,2083.23999,2095.840088,3301270000,2095.840088
2015-04-13,2102.030029,2107.649902,2092.330078,2092.429932,2908420000,2092.429932
2015-04-10,2091.51001,2102.610107,2091.51001,2102.060059,536200000,2102.060059
2015-04-09,2081.290039,2093.310059,2074.290039,2091.179932,3172360000,2091.179932
2015-04-08,2076.939941,2086.689941,2073.300049,2081.899902,3265330000,2081.899902
2015-04-07,2080.790039,2089.810059,2076.100098,2076.330078,3065510000,2076.330078
2015-04-06,2064.870117,2086.98999,2056.52002,2080.620117,3302970000,2080.620117
2015-04-02,2060.030029,2072.169922,2057.320068,2066.959961,3095960000,2066.959961
2015-04-01,2067.629883,2067.629883,2048.379883,2059.689941,3543270000,2059.689941
2015-03-31,2084.050049,2084.050049,2067.040039,2067.889893,3376550000,2067.889893
2015-03-30,2064.110107,2088.969971,2064.110107,2086.23999,2917690000,2086.23999
2015-03-27,2055.780029,2062.830078,2052.959961,2061.02002,3008550000,2061.02002
2015-03-26,2059.939941,2067.149902,2045.50,2056.149902,3510670000,2056.149902
